Tic_Rais_date_time,Ticket_ID,LHO,Site_Class,Criticality,Terminal_ID,State,Address,Location_Type,Call_Mode,Queue_Type,Call_Type,Category,Sub_Category,CD_Make,Created_Date,Created_Time,Ageing,Numerical_Tic_Rais_date_time
01/01/2021 00:29,1213364.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,01/01/2021,0:29:01,7H:0M,44197.02015
01/01/2021 07:55,1213419.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,01/01/2021,7:55:03,3H:1M,44197.3299
01/01/2021 17:31,1220605.0,Trivandrum,Platinum,M1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,RP Out,RP Out,RP Out,NCR,01/01/2021,17:31:05,1H:20M,44197.72992
01/03/2021 01:03,1555432.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,01/03/2021,1:03:09,1H:2M,44256.04385
01/03/2021 20:03,1565786.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,01/03/2021,20:03:04,0H:46M,44256.83546
01/06/2021 11:53,2117062.0,Trivandrum,Platinum,M1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,RP Hardware Fatal,ATM Hardware,RP Fatal,NCR,01/06/2021,11:53:23,2H:2M,44348.49541
02/03/2021 00:55,1566592.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,02/03/2021,0:55:01,10H:44M,44257.03821
02/06/2021 09:48,2119282.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,NCR,02/06/2021,9:48:25,22H:41M,44349.40862
02/07/2021 09:43,2239821.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,Cash Out,Cash Related,Cash out,NCR,02/07/2021,9:43:18,2H:53M,44379.40507
03/01/2021 01:33,1223314.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,03/01/2021,1:33:03,0H:22M,44199.06462
