Tic_Rais_date_time,Ticket_ID,LHO,Site_Class,Criticality,Terminal_ID,State,Address,Location_Type,Call_Mode,Queue_Type,Call_Type,Category,Sub_Category,CD_Make,Created_Date,Created_Time,Ageing,Numerical_Tic_Rais_date_time
01/01/2021 00:49,1213366.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,01/01/2021,0:49:01,9H:58M,44197.03404
01/01/2021 21:47,1220934.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,01/01/2021,21:47:02,18H:28M,44197.90766
01/02/2021 22:35,1368557.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring-SLM,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,01/02/2021,22:35:01,14H:40M,44228.94098
01/03/2021 13:20,1560423.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,01/03/2021,13:20:53,6H:58M,44256.55617
01/11/2021 15:45,2564883.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,01/11/2021,15:45:36,24H:57M,44501.65667
02/02/2021 13:13,1369643.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,02/02/2021,13:13:00,1H:38M,44229.55069
02/02/2021 20:45,1380298.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,02/02/2021,20:45:25,1H:32M,44229.86487
02/07/2021 15:53,2241241.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,02/07/2021,15:53:04,0H:42M,44379.66185
02/07/2021 16:33,2241325.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,02/07/2021,16:33:12,0H:40M,44379.68972
02/08/2021 21:13,2335695.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,02/08/2021,21:13:05,13H:50M,44410.88409
02/10/2021 15:13,2497567.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,02/10/2021,15:13:01,1D:19H,44471.63404
03/03/2021 14:33,1576060.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,03/03/2021,14:33:04,1H:14M,44258.6063
03/03/2021 22:11,1577375.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,03/03/2021,22:11:49,11H:28M,44258.92487
03/08/2021 12:13,2337004.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,03/08/2021,12:13:04,5H:50M,44411.50907
03/11/2021 14:24,2569500.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,03/11/2021,14:24:18,2H:5M,44503.60021
03/11/2021 15:35,2569843.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,03/11/2021,15:35:15,1D:22H,44503.64948
04/02/2021 11:49,1384202.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,04/02/2021,11:49:05,5H:2M,44231.49242
04/06/2021 12:31,2130539.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,04/06/2021,12:31:07,1H:1M,44351.52161
04/10/2021 12:23,2500932.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,04/10/2021,12:23:05,22H:20M,44473.51603
